parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment,
fMZeS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMZyS,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMBeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMByD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMZeD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
fMZyD,i'ka 'yac̷u-t,,,,CHIB3,deicat_aguaruna_2015,Inferred; NA,
mFZH,apag,,,,,godelier_transformations_1998-2�,,
mMBW,dukug,,,,,godelier_transformations_1998-2�,,
mBW,waheg,,,,,godelier_transformations_1998-2�,,
mMBDS,ajika,,,,,godelier_transformations_1998-2�,,
mFZDS,ajika,,,,,godelier_transformations_1998-2�,,
mMBDD,nuwasa,,,,,godelier_transformations_1998-2�,,
mFZDD,nuwasa,,,,,godelier_transformations_1998-2�,,
,,,,,,,,
,,,,,,,,
